sentiment_group,total_trades,avg_pnl,win_rate,avg_trade_size_usd
Fear,83237,49.212077443108235,0.4078714994533681,7182.011019498541
Greed,90295,53.88228122956974,0.4203112021706628,4574.424489617366
Neutral,37686,34.30771839807886,0.3969909250119408,4782.732661465797
